Blocks: '[72:58:80:20, -2:70:-6:1:1, -1:70:-6:3:1, -3:70:-5:1:1, -2:70:-5:1:1, -1:70:-5:3:1,
  0:70:-5:172, 1:70:-5:172, -3:70:-4:1:1, -2:70:-4:1:1, -1:70:-4:172, 0:70:-4:172,
  1:70:-4:172, 2:70:-4:172, 3:70:-4:172, -3:70:-3:1:1, -2:70:-3:172, -1:70:-3:172,
  -18:88:41:172, -17:88:41:180:1, -14:88:41:172, -13:88:41:172, -4:88:41:172, -3:88:41:172,
  -2:88:41:159:1, 3:88:41:172, 4:88:41:172, 13:88:41:172, 14:88:41:159:1, 15:88:41:172,
  16:88:41:172, 17:88:41:180:1, 20:88:41:172, 21:88:41:172, -20:88:42:172, -19:88:42:172,
  -18:88:42:172, -17:88:42:58, -16:88:42:61:2, -15:88:42:188, -14:88:42:172, -4:88:42:1:1,
  -3:88:42:172, -2:88:42:172, -1:88:42:159:1, 0:88:42:17:12, 3:88:42:172, 4:88:42:1:1,
  14:88:42:172, 15:88:42:172, 16:88:42:172, 17:88:42:58, 18:88:42:61:2, 19:88:42:188,
  20:88:42:172, -19:88:43:172, -18:88:43:172, -17:88:43:172, -16:88:43:172, -15:88:43:172,
  -4:88:43:1:1, -3:88:43:172, -2:88:43:172, -1:88:43:172, 0:88:43:180:1, 3:88:43:172,
  4:88:43:1:1, 15:88:43:172, 16:88:43:172, 17:88:43:172, 18:88:43:172, 19:88:43:172,
  -4:88:44:172, -3:88:44:159:1, -2:88:44:172, -1:88:44:172, 0:88:44:180:1, 3:88:44:172,
  4:88:44:172, -3:88:45:172, -2:88:45:172, -1:88:45:172, 0:88:45:58, 1:88:45:61:2,
  2:88:45:188, 3:88:45:172, -2:88:46:172, -1:88:46:172, 0:88:46:172, 1:88:46:172,
  2:88:46:172, -2:89:-46:172, -1:89:-46:172, 0:89:-46:172, 1:89:-46:172, 2:89:-46:172,
  -4:89:-45:3, -3:89:-45:172, -2:89:-45:50:5, 1:89:-45:172, 2:89:-45:172, 3:89:-45:172,
  -4:89:-44:1:1, -3:89:-44:172, 1:89:-44:180, 2:89:-44:172, 3:89:-44:172, 4:89:-44:172,
  -19:89:-43:172, -18:89:-43:172, -17:89:-43:172, -16:89:-43:172, -15:89:-43:172,
  -4:89:-43:1:1, -3:89:-43:172, 1:89:-43:180, 2:89:-43:172, 3:89:-43:172, 4:89:-43:1:1,
  15:89:-43:172, 16:89:-43:172, 17:89:-43:172, 18:89:-43:172, 19:89:-43:172, -21:89:-42:3,
  -20:89:-42:172, -19:89:-42:50:5, -16:89:-42:172, -15:89:-42:172, -14:89:-42:172,
  -4:89:-42:17:12, -3:89:-42:172, 0:89:-42:17:12, 1:89:-42:172, 2:89:-42:172, 3:89:-42:172,
  4:89:-42:17:12, 13:89:-42:3, 14:89:-42:172, 15:89:-42:50:5, 18:89:-42:172, 19:89:-42:172,
  20:89:-42:172, -21:89:-41:1:1, -20:89:-41:172, -16:89:-41:180, -15:89:-41:172, -14:89:-41:172,
  -13:89:-41:172, -4:89:-41:172, -3:89:-41:172, 1:89:-41:172, 2:89:-41:172, 3:89:-41:172,
  4:89:-41:172, 13:89:-41:1:1, 14:89:-41:172, 18:89:-41:180, 19:89:-41:172, 20:89:-41:172,
  21:89:-41:172, -21:89:-40:1:1, -20:89:-40:172, -16:89:-40:180, -15:89:-40:172, -14:89:-40:172,
  -13:89:-40:1:1, -4:89:-40:2, -3:89:-40:2, 0:89:-40:159:1, 1:89:-40:159:1, 2:89:-40:172,
  3:89:-40:172, 4:89:-40:172, 13:89:-40:1:1, 14:89:-40:172, 18:89:-40:180, 19:89:-40:172,
  20:89:-40:172, 21:89:-40:1:1, -21:89:-39:17:12, -20:89:-39:172, -17:89:-39:17:12,
  -16:89:-39:172, -15:89:-39:172, -14:89:-39:172, -13:89:-39:17:12, -4:89:-39:2, -3:89:-39:2,
  -2:89:-39:159:1, -1:89:-39:159:1, 0:89:-39:159:1, 1:89:-39:172, 2:89:-39:159:1,
  3:89:-39:159:1, 4:89:-39:5:1, 13:89:-39:17:12, 14:89:-39:172, 17:89:-39:17:12, 18:89:-39:172,
  19:89:-39:172, 20:89:-39:172, 21:89:-39:17:12, -21:89:-38:172, -20:89:-38:172, -16:89:-38:172,
  -15:89:-38:172, -14:89:-38:172, -13:89:-38:172, -4:89:-38:18:4, -3:89:-38:2, -2:89:-38:2,
  -1:89:-38:159:1, 0:89:-38:159:1, 1:89:-38:159:1, 2:89:-38:159:1, 3:89:-38:159:1,
  4:89:-38:172, 13:89:-38:172, 14:89:-38:172, 18:89:-38:172, 19:89:-38:172, 20:89:-38:172,
  21:89:-38:172, -21:89:-37:2, -20:89:-37:2, -17:89:-37:159:1, -16:89:-37:159:1, -15:89:-37:172,
  -14:89:-37:172, -13:89:-37:172, -3:89:-37:18:4, -2:89:-37:2, -1:89:-37:2, 0:89:-37:159:1,
  1:89:-37:159:1, 2:89:-37:159:1, 3:89:-37:5:1, 13:89:-37:2, 14:89:-37:2, 17:89:-37:159:1,
  18:89:-37:159:1, 19:89:-37:172, 20:89:-37:172, 21:89:-37:172, -21:89:-36:2, -20:89:-36:2,
  -19:89:-36:159:1, -18:89:-36:159:1, -17:89:-36:159:1, -16:89:-36:172, -15:89:-36:159:1,
  -14:89:-36:159:1, -13:89:-36:5:1, -1:89:-36:159:1, 0:89:-36:159:1, 13:89:-36:2,
  14:89:-36:2, 15:89:-36:159:1, 16:89:-36:159:1, 17:89:-36:159:1, 18:89:-36:172, 19:89:-36:159:1,
  20:89:-36:159:1, 21:89:-36:5:1, -21:89:-35:18:4, -20:89:-35:2, -19:89:-35:2, -18:89:-35:159:1,
  -17:89:-35:159:1, -16:89:-35:159:1, -15:89:-35:159:1, -14:89:-35:159:1, -13:89:-35:172,
  13:89:-35:18:4, 14:89:-35:2, 15:89:-35:2, 16:89:-35:159:1, 17:89:-35:159:1, 18:89:-35:159:1,
  19:89:-35:159:1, 20:89:-35:159:1, 21:89:-35:172, -20:89:-34:18:4, -19:89:-34:2,
  -18:89:-34:2, -17:89:-34:159:1, -16:89:-34:159:1, -15:89:-34:159:1, -14:89:-34:5:1,
  14:89:-34:18:4, 15:89:-34:2, 16:89:-34:2, 17:89:-34:159:1, 18:89:-34:159:1, 19:89:-34:159:1,
  20:89:-34:5:1, -18:89:-33:159:1, -17:89:-33:159:1, 16:89:-33:159:1, 17:89:-33:159:1,
  -41:89:-21:172, -40:89:-21:1:1, -39:89:-21:17:12, -38:89:-21:172, -37:89:-21:172,
  -36:89:-21:5:1, -35:89:-21:172, 35:89:-21:18:4, 36:89:-21:2, 37:89:-21:2, 38:89:-21:172,
  39:89:-21:17:12, 40:89:-21:1:1, 41:89:-21:1:1, 42:89:-21:3, -42:89:-20:172, -41:89:-20:172,
  -40:89:-20:172, -39:89:-20:172, -38:89:-20:172, -37:89:-20:172, -36:89:-20:159:1,
  -35:89:-20:159:1, -34:89:-20:5:1, 34:89:-20:18:4, 35:89:-20:2, 36:89:-20:2, 37:89:-20:2,
  38:89:-20:172, 39:89:-20:172, 40:89:-20:172, 41:89:-20:172, 42:89:-20:172, -43:89:-19:172,
  -42:89:-19:172, -41:89:-19:172, -40:89:-19:172, -39:89:-19:172, -38:89:-19:172,
  -37:89:-19:172, -36:89:-19:159:1, -35:89:-19:159:1, -34:89:-19:159:1, 34:89:-19:2,
  35:89:-19:2, 36:89:-19:159:1, 42:89:-19:50:5, 43:89:-19:172, -43:89:-18:172, -42:89:-18:172,
  -41:89:-18:180:3, -40:89:-18:180:3, -39:89:-18:172, -38:89:-18:172, -37:89:-18:159:1,
  -36:89:-18:172, -35:89:-18:159:1, -34:89:-18:159:1, 33:89:-18:159:1, 34:89:-18:2,
  35:89:-18:159:1, 36:89:-18:159:1, 43:89:-18:172, -43:89:-17:172, -39:89:-17:17:12,
  -37:89:-17:159:1, -36:89:-17:159:1, -35:89:-17:159:1, -34:89:-17:159:1, -33:89:-17:159:1,
  33:89:-17:159:1, 34:89:-17:159:1, 35:89:-17:159:1, 36:89:-17:159:1, 37:89:-17:159:1,
  39:89:-17:17:12, 43:89:-17:172, -43:89:-16:172, -36:89:-16:159:1, -35:89:-16:159:1,
  -34:89:-16:2, -33:89:-16:159:1, 34:89:-16:159:1, 35:89:-16:159:1, 36:89:-16:172,
  37:89:-16:159:1, 38:89:-16:172, 39:89:-16:172, 40:89:-16:180:2, 41:89:-16:180:2,
  42:89:-16:172, 43:89:-16:172, -43:89:-15:172, -42:89:-15:50:5, -36:89:-15:159:1,
  -35:89:-15:2, -34:89:-15:2, 34:89:-15:159:1, 35:89:-15:159:1, 36:89:-15:159:1, 37:89:-15:172,
  38:89:-15:172, 39:89:-15:172, 40:89:-15:172, 41:89:-15:172, 42:89:-15:172, 43:89:-15:172,
  -42:89:-14:172, -41:89:-14:172, -40:89:-14:172, -39:89:-14:172, -38:89:-14:172,
  -37:89:-14:2, -36:89:-14:2, -35:89:-14:2, -34:89:-14:18:4, 34:89:-14:5:1, 35:89:-14:159:1,
  36:89:-14:159:1, 37:89:-14:172, 38:89:-14:172, 39:89:-14:172, 40:89:-14:172, 41:89:-14:172,
  42:89:-14:172, -42:89:-13:3, -41:89:-13:1:1, -40:89:-13:1:1, -39:89:-13:17:12, -38:89:-13:172,
  -37:89:-13:2, -36:89:-13:2, -35:89:-13:18:4, 35:89:-13:172, 36:89:-13:5:1, 37:89:-13:172,
  38:89:-13:172, 39:89:-13:17:12, 40:89:-13:1:1, 41:89:-13:172, 6:89:-7:101, -44:89:-4:172,
  -43:89:-4:1:1, -42:89:-4:17:12, -41:89:-4:172, -40:89:-4:172, -39:89:-4:5:1, -38:89:-4:172,
  4:89:-4:17, 5:89:-4:126:9, 7:89:-4:126:9, 8:89:-4:17, 38:89:-4:18:4, 39:89:-4:2,
  40:89:-4:2, 41:89:-4:172, 42:89:-4:17:12, 43:89:-4:1:1, 44:89:-4:1:1, 45:89:-4:3,
  -45:89:-3:172, -44:89:-3:172, -43:89:-3:172, -42:89:-3:172, -41:89:-3:172, -40:89:-3:172,
  -39:89:-3:159:1, -38:89:-3:159:1, -37:89:-3:5:1, -6:89:-3:145:1, 4:89:-3:126:9,
  5:89:-3:98, 6:89:-3:1:5, 7:89:-3:98, 8:89:-3:126:9, 37:89:-3:18:4, 38:89:-3:2, 39:89:-3:2,
  40:89:-3:2, 41:89:-3:172, 42:89:-3:172, 43:89:-3:172, 44:89:-3:172, 45:89:-3:172,
  -46:89:-2:172, -45:89:-2:172, -44:89:-2:172, -43:89:-2:172, -42:89:-2:172, -41:89:-2:172,
  -40:89:-2:172, -39:89:-2:159:1, -38:89:-2:159:1, -37:89:-2:159:1, 5:89:-2:1:5, 7:89:-2:98,
  37:89:-2:2, 38:89:-2:2, 39:89:-2:159:1, 45:89:-2:50:5, 46:89:-2:172, -46:89:-1:172,
  -45:89:-1:172, -44:89:-1:180:3, -43:89:-1:180:3, -42:89:-1:172, -41:89:-1:172, -40:89:-1:159:1,
  -39:89:-1:172, -38:89:-1:159:1, -37:89:-1:159:1, 4:89:-1:126:9, 5:89:-1:98, 6:89:-1:98,
  7:89:-1:1:5, 8:89:-1:126:9, 36:89:-1:159:1, 37:89:-1:2, 38:89:-1:159:1, 39:89:-1:159:1,
  46:89:-1:172, -46:89:0:172, -42:89:0:17:12, -40:89:0:159:1, -39:89:0:159:1, -38:89:0:159:1,
  -37:89:0:159:1, -36:89:0:159:1, -8:89:0:17, -7:89:0:126:9, -5:89:0:126:9, -4:89:0:17,
  -3:89:0:50:5, 3:89:0:50:5, 4:89:0:17, 5:89:0:126:9, 7:89:0:126:9, 8:89:0:17, 36:89:0:159:1,
  37:89:0:159:1, 38:89:0:159:1, 39:89:0:159:1, 40:89:0:159:1, 42:89:0:17:12, 46:89:0:172,
  -46:89:1:172, -39:89:1:159:1, -38:89:1:159:1, -37:89:1:2, -36:89:1:159:1, -8:89:1:126:9,
  -7:89:1:1:5, -6:89:1:98, -5:89:1:98, -4:89:1:126:9, 37:89:1:159:1, 38:89:1:159:1,
  39:89:1:172, 40:89:1:159:1, 41:89:1:172, 42:89:1:172, 43:89:1:180:2, 44:89:1:180:2,
  45:89:1:172, 46:89:1:172, -46:89:2:172, -45:89:2:50:5, -39:89:2:159:1, -38:89:2:2,
  -37:89:2:2, -7:89:2:98, -5:89:2:1:5, 37:89:2:159:1, 38:89:2:159:1, 39:89:2:159:1,
  40:89:2:172, 41:89:2:172, 42:89:2:172, 43:89:2:172, 44:89:2:172, 45:89:2:172, 46:89:2:172,
  -45:89:3:172, -44:89:3:172, -43:89:3:172, -42:89:3:172, -41:89:3:172, -40:89:3:2,
  -39:89:3:2, -38:89:3:2, -37:89:3:18:4, -8:89:3:126:9, -7:89:3:98, -6:89:3:1:5, -5:89:3:98,
  -4:89:3:126:9, 6:89:3:145:3, 37:89:3:5:1, 38:89:3:159:1, 39:89:3:159:1, 40:89:3:172,
  41:89:3:172, 42:89:3:172, 43:89:3:172, 44:89:3:172, 45:89:3:172, -45:89:4:3, -44:89:4:1:1,
  -43:89:4:1:1, -42:89:4:17:12, -41:89:4:172, -40:89:4:2, -39:89:4:2, -38:89:4:18:4,
  -8:89:4:17, -7:89:4:126:9, -5:89:4:126:9, -4:89:4:17, 38:89:4:172, 39:89:4:5:1,
  40:89:4:172, 41:89:4:172, 42:89:4:17:12, 43:89:4:1:1, 44:89:4:172, -6:89:7:101,
  -41:89:13:172, -40:89:13:1:1, -39:89:13:17:12, -38:89:13:172, -37:89:13:172, -36:89:13:5:1,
  -35:89:13:172, 35:89:13:18:4, 36:89:13:2, 37:89:13:2, 38:89:13:172, 39:89:13:17:12,
  40:89:13:1:1, 41:89:13:1:1, 42:89:13:3, -42:89:14:172, -41:89:14:172, -40:89:14:172,
  -39:89:14:172, -38:89:14:172, -37:89:14:172, -36:89:14:159:1, -35:89:14:159:1, -34:89:14:5:1,
  34:89:14:18:4, 35:89:14:2, 36:89:14:2, 37:89:14:2, 38:89:14:172, 39:89:14:172, 40:89:14:172,
  41:89:14:172, 42:89:14:172, -43:89:15:172, -42:89:15:172, -41:89:15:172, -40:89:15:172,
  -39:89:15:172, -38:89:15:172, -37:89:15:172, -36:89:15:159:1, -35:89:15:159:1, -34:89:15:159:1,
  34:89:15:2, 35:89:15:2, 36:89:15:159:1, 42:89:15:50:5, 43:89:15:172, -43:89:16:172,
  -42:89:16:172, -41:89:16:180:3, -40:89:16:180:3, -39:89:16:172, -38:89:16:172, -37:89:16:159:1,
  -36:89:16:172, -35:89:16:159:1, -34:89:16:159:1, 33:89:16:159:1, 34:89:16:2, 35:89:16:159:1,
  36:89:16:159:1, 43:89:16:172, -43:89:17:172, -39:89:17:17:12, -37:89:17:159:1, -36:89:17:159:1,
  -35:89:17:159:1, -34:89:17:159:1, -33:89:17:159:1, 33:89:17:159:1, 34:89:17:159:1,
  35:89:17:159:1, 36:89:17:159:1, 37:89:17:159:1, 39:89:17:17:12, 43:89:17:172, -43:89:18:172,
  -36:89:18:159:1, -35:89:18:159:1, -34:89:18:2, -33:89:18:159:1, 34:89:18:159:1,
  35:89:18:159:1, 36:89:18:172, 37:89:18:159:1, 38:89:18:172, 39:89:18:172, 40:89:18:180:2,
  41:89:18:180:2, 42:89:18:172, 43:89:18:172, -43:89:19:172, -42:89:19:50:5, -36:89:19:159:1,
  -35:89:19:2, -34:89:19:2, 34:89:19:159:1, 35:89:19:159:1, 36:89:19:159:1, 37:89:19:172,
  38:89:19:172, 39:89:19:172, 40:89:19:172, 41:89:19:172, 42:89:19:172, 43:89:19:172,
  -42:89:20:172, -41:89:20:172, -40:89:20:172, -39:89:20:172, -38:89:20:172, -37:89:20:2,
  -36:89:20:2, -35:89:20:2, -34:89:20:18:4, 34:89:20:5:1, 35:89:20:159:1, 36:89:20:159:1,
  37:89:20:172, 38:89:20:172, 39:89:20:172, 40:89:20:172, 41:89:20:172, 42:89:20:172,
  -42:89:21:3, -41:89:21:1:1, -40:89:21:1:1, -39:89:21:17:12, -38:89:21:172, -37:89:21:2,
  -36:89:21:2, -35:89:21:18:4, 35:89:21:172, 36:89:21:5:1, 37:89:21:172, 38:89:21:172,
  39:89:21:17:12, 40:89:21:1:1, 41:89:21:172, -17:89:33:159:1, -16:89:33:159:1, 17:89:33:159:1,
  18:89:33:159:1, -20:89:34:5:1, -19:89:34:159:1, -18:89:34:159:1, -17:89:34:159:1,
  -16:89:34:2, -15:89:34:2, -14:89:34:18:4, 14:89:34:5:1, 15:89:34:159:1, 16:89:34:159:1,
  17:89:34:159:1, 18:89:34:2, 19:89:34:2, 20:89:34:18:4, -21:89:35:172, -20:89:35:159:1,
  -19:89:35:159:1, -18:89:35:159:1, -17:89:35:159:1, -16:89:35:159:1, -15:89:35:2,
  -14:89:35:2, -13:89:35:18:4, 13:89:35:172, 14:89:35:159:1, 15:89:35:159:1, 16:89:35:159:1,
  17:89:35:159:1, 18:89:35:159:1, 19:89:35:2, 20:89:35:2, 21:89:35:18:4, -21:89:36:5:1,
  -20:89:36:159:1, -19:89:36:159:1, -18:89:36:172, -17:89:36:159:1, -16:89:36:159:1,
  -15:89:36:159:1, -14:89:36:2, -13:89:36:2, 0:89:36:159:1, 1:89:36:159:1, 13:89:36:5:1,
  14:89:36:159:1, 15:89:36:159:1, 16:89:36:172, 17:89:36:159:1, 18:89:36:159:1, 19:89:36:159:1,
  20:89:36:2, 21:89:36:2, -21:89:37:172, -20:89:37:172, -19:89:37:172, -18:89:37:159:1,
  -17:89:37:159:1, -14:89:37:2, -13:89:37:2, -3:89:37:5:1, -2:89:37:159:1, -1:89:37:159:1,
  0:89:37:159:1, 1:89:37:2, 2:89:37:2, 3:89:37:18:4, 13:89:37:172, 14:89:37:172, 15:89:37:172,
  16:89:37:159:1, 17:89:37:159:1, 20:89:37:2, 21:89:37:2, -21:89:38:172, -20:89:38:172,
  -19:89:38:172, -18:89:38:172, -14:89:38:172, -13:89:38:172, -4:89:38:172, -3:89:38:159:1,
  -2:89:38:159:1, -1:89:38:159:1, 0:89:38:159:1, 1:89:38:159:1, 2:89:38:2, 3:89:38:2,
  4:89:38:18:4, 13:89:38:172, 14:89:38:172, 15:89:38:172, 16:89:38:172, 20:89:38:172,
  21:89:38:172, -21:89:39:17:12, -20:89:39:172, -19:89:39:172, -18:89:39:172, -17:89:39:17:12,
  -14:89:39:172, -13:89:39:17:12, -4:89:39:5:1, -3:89:39:159:1, -2:89:39:159:1, -1:89:39:172,
  0:89:39:159:1, 1:89:39:159:1, 2:89:39:159:1, 3:89:39:2, 4:89:39:2, 13:89:39:17:12,
  14:89:39:172, 15:89:39:172, 16:89:39:172, 17:89:39:17:12, 20:89:39:172, 21:89:39:17:12,
  -21:89:40:1:1, -20:89:40:172, -19:89:40:172, -18:89:40:180:1, -14:89:40:172, -13:89:40:1:1,
  -4:89:40:172, -3:89:40:172, -2:89:40:172, -1:89:40:159:1, 0:89:40:159:1, 3:89:40:2,
  4:89:40:2, 13:89:40:1:1, 14:89:40:172, 15:89:40:172, 16:89:40:180:1, 20:89:40:172,
  21:89:40:1:1, -21:89:41:172, -20:89:41:172, -19:89:41:172, -18:89:41:180:1, -14:89:41:172,
  -13:89:41:1:1, -4:89:41:172, -3:89:41:172, -2:89:41:172, -1:89:41:172, 3:89:41:172,
  4:89:41:172, 13:89:41:172, 14:89:41:172, 15:89:41:172, 16:89:41:180:1, 20:89:41:172,
  21:89:41:1:1, -20:89:42:172, -19:89:42:172, -18:89:42:172, -15:89:42:50:5, -14:89:42:172,
  -13:89:42:3, -4:89:42:17:12, -3:89:42:172, -2:89:42:172, -1:89:42:172, 0:89:42:17:12,
  3:89:42:172, 4:89:42:17:12, 14:89:42:172, 15:89:42:172, 16:89:42:172, 19:89:42:50:5,
  20:89:42:172, 21:89:42:3, -19:89:43:172, -18:89:43:172, -17:89:43:172, -16:89:43:172,
  -15:89:43:172, -4:89:43:1:1, -3:89:43:172, -2:89:43:172, -1:89:43:180:1, 3:89:43:172,
  4:89:43:1:1, 15:89:43:172, 16:89:43:172, 17:89:43:172, 18:89:43:172, 19:89:43:172,
  -4:89:44:172, -3:89:44:172, -2:89:44:172, -1:89:44:180:1, 3:89:44:172, 4:89:44:1:1,
  -3:89:45:172, -2:89:45:172, -1:89:45:172, 2:89:45:50:5, 3:89:45:172, 4:89:45:3,
  -2:89:46:172, -1:89:46:172, 0:89:46:172, 1:89:46:172, 2:89:46:172, -3:90:-46:3,
  -2:90:-46:172, -1:90:-46:172, 0:90:-46:172, 1:90:-46:172, -4:90:-45:2, -3:90:-45:172,
  -2:90:-45:134:7, -1:90:-45:126:9, 0:90:-45:134:7, 1:90:-45:172, 2:90:-45:172, 3:90:-45:172,
  -4:90:-44:3, -3:90:-44:172, 3:90:-44:32, 4:90:-44:172, -20:90:-43:3, -19:90:-43:172,
  -18:90:-43:172, -17:90:-43:172, -16:90:-43:172, -4:90:-43:172, -3:90:-43:172, 4:90:-43:172,
  14:90:-43:3, 15:90:-43:172, 16:90:-43:172, 17:90:-43:172, 18:90:-43:172, -21:90:-42:2,
  -20:90:-42:172, -19:90:-42:134:7, -18:90:-42:126:9, -17:90:-42:134:7, -16:90:-42:172,
  -15:90:-42:172, -14:90:-42:172, -4:90:-42:17:12, 0:90:-42:17:12, 2:90:-42:66, 4:90:-42:17:12,
  13:90:-42:2, 14:90:-42:172, 15:90:-42:134:7, 16:90:-42:126:9, 17:90:-42:134:7, 18:90:-42:172,
  19:90:-42:172, 20:90:-42:172, -21:90:-41:3, -20:90:-41:172, -14:90:-41:32, -13:90:-41:172,
  2:90:-41:66, 13:90:-41:3, 14:90:-41:172, 20:90:-41:32, 21:90:-41:172, -21:90:-40:172,
  -20:90:-40:172, -13:90:-40:172, -4:90:-40:18:4, 4:90:-40:5:1, 13:90:-40:172, 14:90:-40:172,
  21:90:-40:172, -21:90:-39:17:12, -17:90:-39:17:12, -15:90:-39:66, -13:90:-39:17:12,
  -4:90:-39:18:4, 2:90:-39:66:9, 3:90:-39:66:1, 4:90:-39:5:1, 13:90:-39:17:12, 17:90:-39:17:12,
  19:90:-39:66, 21:90:-39:17:12, -15:90:-38:66, -4:90:-38:18:4, -3:90:-38:18:4, -1:90:-38:32,
  3:90:-38:5:1, 4:90:-38:125:1, 19:90:-38:66, -21:90:-37:18:4, -13:90:-37:5:1, -3:90:-37:18:4,
  3:90:-37:5:1, 13:90:-37:18:4, 21:90:-37:5:1, -21:90:-36:18:4, -15:90:-36:66:9, -14:90:-36:66:1,
  -13:90:-36:5:1, 13:90:-36:18:4, 19:90:-36:66:9, 20:90:-36:66:1, 21:90:-36:5:1, -21:90:-35:18:4,
  -20:90:-35:18:4, -18:90:-35:32, -14:90:-35:5:1, -13:90:-35:125:1, 13:90:-35:18:4,
  14:90:-35:18:4, 16:90:-35:32, 20:90:-35:5:1, 21:90:-35:125:1, -20:90:-34:18:4, -14:90:-34:5:1,
  14:90:-34:18:4, 20:90:-34:5:1, -41:90:-21:172, -40:90:-21:172, -39:90:-21:17:12,
  -37:90:-21:5:1, -36:90:-21:5:1, -35:90:-21:125:1, 35:90:-21:18:4, 36:90:-21:18:4,
  37:90:-21:18:4, 39:90:-21:17:12, 40:90:-21:172, 41:90:-21:3, 42:90:-21:2, -42:90:-20:172,
  -41:90:-20:32, -36:90:-20:66, -35:90:-20:5:1, -34:90:-20:5:1, 34:90:-20:18:4, 35:90:-20:18:4,
  40:90:-20:172, 41:90:-20:172, 42:90:-20:172, 43:90:-20:3, -42:90:-19:172, -39:90:-19:66:1,
  -38:90:-19:66:1, -36:90:-19:66:8, 42:90:-19:134:4, 43:90:-19:172, -43:90:-18:172,
  -42:90:-18:172, 35:90:-18:32, 42:90:-18:126:9, 43:90:-18:172, -43:90:-17:172, -42:90:-17:134:5,
  -39:90:-17:17:12, 39:90:-17:17:12, 42:90:-17:134:4, 43:90:-17:172, -43:90:-16:172,
  -42:90:-16:126:9, -35:90:-16:32, 42:90:-16:172, 43:90:-16:172, -43:90:-15:172, -42:90:-15:134:5,
  36:90:-15:66:6, 38:90:-15:66:1, 39:90:-15:66:1, 42:90:-15:172, -43:90:-14:3, -42:90:-14:172,
  -41:90:-14:172, -40:90:-14:172, -35:90:-14:18:4, -34:90:-14:18:4, 34:90:-14:5:1,
  35:90:-14:5:1, 36:90:-14:66, 41:90:-14:32, 42:90:-14:172, -42:90:-13:2, -41:90:-13:3,
  -40:90:-13:172, -39:90:-13:17:12, -37:90:-13:18:4, -36:90:-13:18:4, -35:90:-13:18:4,
  35:90:-13:125:1, 36:90:-13:5:1, 37:90:-13:5:1, 39:90:-13:17:12, 40:90:-13:172, 41:90:-13:172,
  6:90:-7:101, -44:90:-4:172, -43:90:-4:172, -42:90:-4:17:12, -40:90:-4:5:1, -39:90:-4:5:1,
  -38:90:-4:125:1, 4:90:-4:17, 5:90:-4:134:1, 6:90:-4:126:1, 7:90:-4:134, 8:90:-4:17,
  38:90:-4:18:4, 39:90:-4:18:4, 40:90:-4:18:4, 42:90:-4:17:12, 43:90:-4:172, 44:90:-4:3,
  45:90:-4:2, -45:90:-3:172, -44:90:-3:32, -39:90:-3:66, -38:90:-3:5:1, -37:90:-3:5:1,
  -6:90:-3:101, 4:90:-3:134:3, 5:90:-3:5:3, 6:90:-3:5:3, 7:90:-3:5:3, 8:90:-3:134:3,
  37:90:-3:18:4, 38:90:-3:18:4, 43:90:-3:172, 44:90:-3:172, 45:90:-3:172, 46:90:-3:3,
  -45:90:-2:172, -42:90:-2:66:1, -41:90:-2:66:1, -39:90:-2:66:8, -6:90:-2:101, 4:90:-2:126:1,
  5:90:-2:5:3, 7:90:-2:5:3, 8:90:-2:126:1, 45:90:-2:134:4, 46:90:-2:172, -46:90:-1:172,
  -45:90:-1:172, 4:90:-1:134:2, 5:90:-1:5:3, 6:90:-1:5:3, 7:90:-1:5:3, 8:90:-1:134:2,
  38:90:-1:32, 45:90:-1:126:9, 46:90:-1:172, -46:90:0:172, -45:90:0:134:5, -42:90:0:17:12,
  -8:90:0:17, -7:90:0:134:1, -6:90:0:126:1, -5:90:0:134, -4:90:0:17, 4:90:0:17, 5:90:0:134:1,
  6:90:0:126:1, 7:90:0:134, 8:90:0:17, 42:90:0:17:12, 45:90:0:134:4, 46:90:0:172,
  -46:90:1:172, -45:90:1:126:9, -38:90:1:32, -8:90:1:134:3, -7:90:1:5:3, -6:90:1:5:3,
  -5:90:1:5:3, -4:90:1:134:3, 45:90:1:172, 46:90:1:172, -46:90:2:172, -45:90:2:134:5,
  -8:90:2:126:1, -7:90:2:5:3, -5:90:2:5:3, -4:90:2:126:1, 6:90:2:101, 39:90:2:66:6,
  41:90:2:66:1, 42:90:2:66:1, 45:90:2:172, -46:90:3:3, -45:90:3:172, -44:90:3:172,
  -43:90:3:172, -38:90:3:18:4, -37:90:3:18:4, -8:90:3:134:2, -7:90:3:5:3, -6:90:3:5:3,
  -5:90:3:5:3, -4:90:3:134:2, 6:90:3:101, 37:90:3:5:1, 38:90:3:5:1, 39:90:3:66, 44:90:3:32,
  45:90:3:172, -45:90:4:2, -44:90:4:3, -43:90:4:172, -42:90:4:17:12, -40:90:4:18:4,
  -39:90:4:18:4, -38:90:4:18:4, -8:90:4:17, -7:90:4:134:1, -6:90:4:126:1, -5:90:4:134,
  -4:90:4:17, 38:90:4:125:1, 39:90:4:5:1, 40:90:4:5:1, 42:90:4:17:12, 43:90:4:172,
  44:90:4:172, -6:90:7:101, -41:90:13:172, -40:90:13:172, -39:90:13:17:12, -37:90:13:5:1,
  -36:90:13:5:1, -35:90:13:125:1, 35:90:13:18:4, 36:90:13:18:4, 37:90:13:18:4, 39:90:13:17:12,
