Blocks: '[-7:45:-7:1, 7:45:-7:1, -7:45:7:1, -7:46:-7:1, -6:46:-7:1, 7:46:-7:1, -7:46:-6:1,
  -19:60:19:31:1, -18:60:19:31:1, 19:60:19:31:1, 20:60:19:38:1, 21:60:19:38:1, 23:60:19:17,
  -23:60:20:31:1, -22:60:20:31:1, -21:60:20:31:1, -20:60:20:31:1, -19:60:20:31:1,
  -18:60:20:31:1, 18:60:20:31:1, 19:60:20:31:1, 20:60:20:31:1, 21:60:20:31:1, 23:60:20:31:1,
  -21:60:21:38:1, -20:60:21:31:1, -19:60:21:31:1, 18:60:21:31:1, 19:60:21:31:1, 20:60:21:31:1,
  -22:60:22:31:1, -21:60:22:31:1, -20:60:22:31:1, -19:60:22:31:1, 21:60:22:31:1, -29:60:23:17:4,
  -28:60:23:17:4, -27:60:23:17:4, -26:60:23:17, -21:60:23:31:1, -20:60:23:31:1, -19:60:23:17,
  19:60:23:17, 26:60:23:17, 27:60:23:17:4, 28:60:23:17:4, 29:60:23:17:4, -30:60:24:17,
  30:60:24:17, -30:60:25:17:8, 30:60:25:17:8, -30:60:26:17:8, -23:60:26:17, 23:60:26:17,
  30:60:26:17:8, -30:60:27:17:8, -23:60:27:17:8, 0:60:27:31:1, 23:60:27:17:8, 30:60:27:17:8,
  -29:60:28:17, -23:60:28:17:8, 23:60:28:17:8, 29:60:28:17, -28:60:29:17, -23:60:29:17:8,
  -2:60:29:17, -1:60:29:31:1, 2:60:29:17, 3:60:29:31:1, 23:60:29:17:8, 28:60:29:17,
  -27:60:30:17:4, -26:60:30:17:4, -25:60:30:17:4, -24:60:30:17, -1:60:30:31:1, 0:60:30:31:1,
  1:60:30:38:1, 24:60:30:17, 25:60:30:17:4, 26:60:30:17:4, 27:60:30:17:4, -2:60:31:31:1,
  0:60:31:31:1, 1:60:31:31:1, -1:60:32:31:1, 0:60:32:31:1, 1:60:32:31:1, 2:60:32:31:1,
  -2:60:33:17, 2:60:33:17, -3:60:34:17:8, 3:60:34:17:8, -3:60:35:17:8, 3:60:35:17:8,
  -3:60:36:17:8, 3:60:36:17:8, -3:60:37:17:8, 3:60:37:17:8, -3:60:38:17:8, 3:60:38:17:8,
  -2:60:39:17, -1:60:39:17:4, 0:60:39:17:4, 1:60:39:17:4, 2:60:39:17, -2:61:-41:17,
  -1:61:-41:20, 0:61:-41:20, 1:61:-41:20, 2:61:-41:17, -3:61:-40:17, 3:61:-40:17,
  -3:61:-39:20, 3:61:-39:20, -3:61:-38:20, 3:61:-38:20, -3:61:-37:20, 3:61:-37:20,
  -3:61:-36:17, 3:61:-36:17, -2:61:-35:17, 2:61:-35:17, -27:61:-30:20, -26:61:-30:20,
  -25:61:-30:20, -24:61:-30:17, 24:61:-30:17, 25:61:-30:20, 26:61:-30:20, 27:61:-30:20,
  -28:61:-29:17, -23:61:-29:20, -2:61:-29:17, 2:61:-29:17, 23:61:-29:20, 28:61:-29:17,
  -29:61:-28:17, -23:61:-28:20, 23:61:-28:20, 29:61:-28:17, -30:61:-27:20, -23:61:-27:20,
  23:61:-27:20, 30:61:-27:20, -30:61:-26:20, -23:61:-26:17, 23:61:-26:17, 30:61:-26:20,
  -30:61:-25:20, 30:61:-25:20, -30:61:-24:17, 30:61:-24:17, -29:61:-23:20, -28:61:-23:20,
  -27:61:-23:20, -26:61:-23:17, -19:61:-23:17, 19:61:-23:17, 26:61:-23:17, 27:61:-23:20,
  28:61:-23:20, 29:61:-23:20, -23:61:-19:17, 23:61:-19:17, -8:61:-9:109:2, -7:61:-9:109:2,
  -6:61:-9:109:2, 6:61:-9:109:2, 7:61:-9:109:2, 8:61:-9:109:2, -9:61:-8:109, -8:61:-8:98,
  -7:61:-8:65:2, -6:61:-8:98, -5:61:-8:109:1, 5:61:-8:109, 6:61:-8:98, 7:61:-8:98,
  8:61:-8:98, 9:61:-8:109:1, -9:61:-7:109, -8:61:-7:98, -7:61:-7:17:1, -6:61:-7:98,
  -5:61:-7:109:1, 5:61:-7:109, 6:61:-7:98, 7:61:-7:17:1, 8:61:-7:65:5, 9:61:-7:109:1,
  -9:61:-6:109, -8:61:-6:98, -7:61:-6:98, -6:61:-6:98, -5:61:-6:109:1, 5:61:-6:109,
  6:61:-6:98, 7:61:-6:98, 8:61:-6:98, 9:61:-6:109:1, -8:61:-5:109:3, -7:61:-5:109:3,
  -6:61:-5:109:3, 6:61:-5:109:3, 7:61:-5:109:3, 8:61:-5:109:3, -38:61:-3:17, -37:61:-3:20,
  -36:61:-3:20, -35:61:-3:20, -34:61:-3:17, -2:61:-3:98, 2:61:-3:98, 33:61:-3:17,
  34:61:-3:20, 35:61:-3:20, 36:61:-3:20, 37:61:-3:17, -39:61:-2:17, -33:61:-2:17,
  -29:61:-2:17, -3:61:-2:98, 3:61:-2:98, 29:61:-2:17, 32:61:-2:17, 38:61:-2:17, -39:61:-1:20,
  38:61:-1:20, -39:61:0:20, 0:61:0:17:1, 38:61:0:20, -39:61:1:20, 0:61:1:126:1, 38:61:1:20,
  -39:61:2:17, -33:61:2:17, -29:61:2:17, -3:61:2:98, 3:61:2:98, 29:61:2:17, 32:61:2:17,
  38:61:2:17, -38:61:3:17, -37:61:3:20, -36:61:3:20, -35:61:3:20, -34:61:3:17, -2:61:3:98,
  2:61:3:98, 33:61:3:17, 34:61:3:20, 35:61:3:20, 36:61:3:20, 37:61:3:17, -8:61:5:109:2,
  -7:61:5:109:2, -6:61:5:109:2, 6:61:5:109:2, 7:61:5:109:2, 8:61:5:109:2, -9:61:6:109,
  -8:61:6:98, -7:61:6:98, -6:61:6:98, -5:61:6:109:1, 5:61:6:109, 6:61:6:98, 7:61:6:98,
  8:61:6:98, 9:61:6:109:1, -9:61:7:109, -8:61:7:65:4, -7:61:7:17:1, -6:61:7:98, -5:61:7:109:1,
  5:61:7:109, 6:61:7:98, 7:61:7:17:1, 8:61:7:98, 9:61:7:109:1, -9:61:8:109, -8:61:8:98,
  -7:61:8:98, -6:61:8:98, -5:61:8:109:1, 5:61:8:109, 6:61:8:98, 7:61:8:65:3, 8:61:8:98,
  9:61:8:109:1, -8:61:9:109:3, -7:61:9:109:3, -6:61:9:109:3, 6:61:9:109:3, 7:61:9:109:3,
  8:61:9:109:3, -23:61:19:17, 23:61:19:17, -29:61:23:20, -28:61:23:20, -27:61:23:20,
  -26:61:23:17, -19:61:23:17, 19:61:23:17, 26:61:23:17, 27:61:23:20, 28:61:23:20,
  29:61:23:20, -30:61:24:17, 30:61:24:17, -30:61:25:20, 30:61:25:20, -30:61:26:20,
  -23:61:26:17, 23:61:26:17, 30:61:26:20, -30:61:27:20, -23:61:27:20, 23:61:27:20,
  30:61:27:20, -29:61:28:17, -23:61:28:20, 23:61:28:20, 29:61:28:17, -28:61:29:17,
  -23:61:29:20, -2:61:29:17, 2:61:29:17, 23:61:29:20, 28:61:29:17, -27:61:30:20, -26:61:30:20,
  -25:61:30:20, -24:61:30:17, 24:61:30:17, 25:61:30:20, 26:61:30:20, 27:61:30:20,
  -2:61:33:17, 2:61:33:17, -3:61:34:17, 3:61:34:17, -3:61:35:20, 3:61:35:20, -3:61:36:20,
  3:61:36:20, -3:61:37:20, 3:61:37:20, -3:61:38:17, 3:61:38:17, -2:61:39:17, -1:61:39:20,
  0:61:39:20, 1:61:39:20, 2:61:39:17, -3:62:-42:67, -2:62:-42:67:2, -1:62:-42:67:2,
  0:62:-42:67:2, 1:62:-42:67:2, 2:62:-42:67:2, 3:62:-42:67:2, -4:62:-41:67, -3:62:-41:67:2,
  -2:62:-41:17, -1:62:-41:17:4, 0:62:-41:17:4, 1:62:-41:17:4, 2:62:-41:17, 3:62:-41:67:1,
  4:62:-41:67:2, -4:62:-40:67, -3:62:-40:17:8, -2:62:-40:50:3, 2:62:-40:50:3, 3:62:-40:17:8,
  4:62:-40:67:1, -4:62:-39:67, -3:62:-39:17:8, 3:62:-39:17:8, 4:62:-39:67:1, -4:62:-38:67,
  -3:62:-38:17:8, 3:62:-38:17:8, 4:62:-38:67:1, -4:62:-37:67, -3:62:-37:17:8, 3:62:-37:17:8,
  4:62:-37:67:1, -4:62:-36:67, -3:62:-36:17:8, 3:62:-36:17:8, 4:62:-36:67:1, -4:62:-35:67:3,
  -3:62:-35:67, -2:62:-35:17, -1:62:-35:17:4, 0:62:-35:17:4, 1:62:-35:17:4, 2:62:-35:17,
  3:62:-35:67:3, 4:62:-35:67:3, -3:62:-34:67:3, -2:62:-34:67:3, -1:62:-34:44:11, 0:62:-34:44:11,
  1:62:-34:44:11, 2:62:-34:67:3, 3:62:-34:67:1, -28:62:-31:67, -27:62:-31:67:2, -26:62:-31:67:2,
  -25:62:-31:67:2, -24:62:-31:67:2, -23:62:-31:67:2, 23:62:-31:67, 24:62:-31:67:2,
  25:62:-31:67:2, 26:62:-31:67:2, 27:62:-31:67:2, 28:62:-31:67:2, -29:62:-30:67, -28:62:-30:67:2,
  -27:62:-30:17:4, -26:62:-30:17:4, -25:62:-30:17:4, -24:62:-30:17, -23:62:-30:67:1,
  -22:62:-30:67:2, 22:62:-30:67, 23:62:-30:67:2, 24:62:-30:17, 25:62:-30:17:4, 26:62:-30:17:4,
  27:62:-30:17:4, 28:62:-30:67:1, 29:62:-30:67:2, -30:62:-29:67, -29:62:-29:67:2,
  -28:62:-29:17, -24:62:-29:50:3, -23:62:-29:17:8, -22:62:-29:67:1, -2:62:-29:17,
  2:62:-29:17, 22:62:-29:67, 23:62:-29:17:8, 24:62:-29:50:3, 28:62:-29:17, 29:62:-29:67:1,
  30:62:-29:67:2, -31:62:-28:67, -30:62:-28:67:2, -29:62:-28:17, -23:62:-28:17:8,
  -22:62:-28:67:1, 22:62:-28:67, 23:62:-28:17:8, 29:62:-28:17, 30:62:-28:67:1, 31:62:-28:67:2,
  -31:62:-27:67, -30:62:-27:17:8, -23:62:-27:17:8, -22:62:-27:67:1, 22:62:-27:67,
  23:62:-27:17:8, 30:62:-27:17:8, 31:62:-27:67:1, -31:62:-26:67, -30:62:-26:17:8,
  -23:62:-26:17, -22:62:-26:67:1, 22:62:-26:67, 23:62:-26:17, 30:62:-26:17:8, 31:62:-26:67:1,
  -31:62:-25:67, -30:62:-25:17:8, -22:62:-25:67:1, 22:62:-25:67:3, 30:62:-25:17:8,
  31:62:-25:67:1, -31:62:-24:67, -30:62:-24:17, -29:62:-24:50:1, 29:62:-24:50:2, 30:62:-24:17,
  31:62:-24:67:1, -31:62:-23:67:3, -30:62:-23:67, -29:62:-23:17:4, -28:62:-23:17:4,
  -27:62:-23:17:4, -26:62:-23:17, -19:62:-23:17, 19:62:-23:17, 26:62:-23:17, 27:62:-23:17:4,
  28:62:-23:17:4, 29:62:-23:17:4, 30:62:-23:67:3, 31:62:-23:67:1, -30:62:-22:67:3,
  -29:62:-22:67:3, -28:62:-22:67:3, -27:62:-22:67:3, -26:62:-22:67:3, -25:62:-22:67:1,
  25:62:-22:67:3, 26:62:-22:67:3, 27:62:-22:67:3, 28:62:-22:67:3, 29:62:-22:67:3,
  30:62:-22:67:1, -23:62:-19:17, 23:62:-19:17, -8:62:-9:109:6, -6:62:-9:109:6, 6:62:-9:109:6,
  8:62:-9:109:6, -9:62:-8:109:4, -7:62:-8:65:2, -5:62:-8:109:5, 5:62:-8:109:4, 9:62:-8:109:5,
  -7:62:-7:17:1, 7:62:-7:17:1, -9:62:-6:109:4, -5:62:-6:109:5, 5:62:-6:109:4, 9:62:-6:109:5,
  -8:62:-5:109:7, -6:62:-5:109:7, 6:62:-5:109:7, 8:62:-5:109:7, -39:62:-4:67, -38:62:-4:67:2,
  -37:62:-4:67:2, -36:62:-4:67:2, -35:62:-4:67:2, -34:62:-4:67:2, -33:62:-4:67:1,
  32:62:-4:67, 33:62:-4:67:2, 34:62:-4:67:2, 35:62:-4:67:2, 36:62:-4:67:2, 37:62:-4:67:2,
  38:62:-4:67:2, -40:62:-3:67, -39:62:-3:67:2, -38:62:-3:17:4, -37:62:-3:17:4, -36:62:-3:17:4,
  -35:62:-3:17:4, -34:62:-3:17:4, -33:62:-3:67:1, -32:62:-3:67:2, -2:62:-3:98, 2:62:-3:98,
  31:62:-3:67, 32:62:-3:67:2, 33:62:-3:17:4, 34:62:-3:17:4, 35:62:-3:17:4, 36:62:-3:17:4,
  37:62:-3:17:4, 38:62:-3:67:1, 39:62:-3:67:2, -40:62:-2:67, -39:62:-2:17, -38:62:-2:50:1,
  -33:62:-2:17, -32:62:-2:67:1, -29:62:-2:17, -3:62:-2:98, 3:62:-2:98, 29:62:-2:17,
  31:62:-2:67, 32:62:-2:17, 37:62:-2:50:2, 38:62:-2:17, 39:62:-2:67:1, -40:62:-1:67,
  -39:62:-1:17:8, -33:62:-1:17:8, -32:62:-1:44:11, 31:62:-1:44:11, 32:62:-1:17:8,
  38:62:-1:17:8, 39:62:-1:67:1, -40:62:0:67, -39:62:0:17:8, -33:62:0:17:8, -32:62:0:44:11,
  0:62:0:17:1, 1:62:0:126:1, 31:62:0:44:11, 32:62:0:17:8, 38:62:0:17:8, 39:62:0:67:1,
  -40:62:1:67, -39:62:1:17:8, -33:62:1:17:8, -32:62:1:44:11, 31:62:1:44:11, 32:62:1:17:8,
  38:62:1:17:8, 39:62:1:67:1, -40:62:2:67, -39:62:2:17, -33:62:2:17, -32:62:2:67:1,
  -29:62:2:17, -3:62:2:98, 3:62:2:98, 29:62:2:17, 31:62:2:67, 32:62:2:17, 37:62:2:50:2,
  38:62:2:17, 39:62:2:67:1, -40:62:3:67:3, -39:62:3:67, -38:62:3:17:4, -37:62:3:17:4,
  -36:62:3:17:4, -35:62:3:17:4, -34:62:3:17:4, -33:62:3:67:3, -32:62:3:67:1, -2:62:3:98,
  2:62:3:98, 31:62:3:67:3, 32:62:3:67, 33:62:3:17:4, 34:62:3:17:4, 35:62:3:17:4, 36:62:3:17:4,
  37:62:3:17:4, 38:62:3:67:3, 39:62:3:67:1, -39:62:4:67:3, -38:62:4:67:3, -37:62:4:67:3,
  -36:62:4:67:3, -35:62:4:67:3, -34:62:4:67:3, -33:62:4:67:1, 32:62:4:67, 33:62:4:67:3,
  34:62:4:67:3, 35:62:4:67:3, 36:62:4:67:3, 37:62:4:67:3, 38:62:4:67:1, -8:62:5:109:6,
  -6:62:5:109:6, 6:62:5:109:6, 8:62:5:109:6, -9:62:6:109:4, -5:62:6:109:5, 5:62:6:109:4,
  9:62:6:109:5, -8:62:7:65:4, -7:62:7:17:1, 7:62:7:17:1, -9:62:8:109:4, -5:62:8:109:5,
  5:62:8:109:4, 9:62:8:109:5, -8:62:9:109:7, -6:62:9:109:7, 6:62:9:109:7, 8:62:9:109:7,
  -23:62:19:17, 23:62:19:17, -30:62:22:67, -29:62:22:67:2, -28:62:22:67:2, -27:62:22:67:2,
  -26:62:22:67:2, -25:62:22:67:2, 25:62:22:67, 26:62:22:67:2, 27:62:22:67:2, 28:62:22:67:2,
  29:62:22:67:2, 30:62:22:67:2, -31:62:23:67, -30:62:23:67:2, -29:62:23:17:4, -28:62:23:17:4,
  -27:62:23:17:4, -26:62:23:17, -19:62:23:17, 19:62:23:17, 26:62:23:17, 27:62:23:17:4,
  28:62:23:17:4, 29:62:23:17:4, 30:62:23:67:1, 31:62:23:67:2, -31:62:24:67, -30:62:24:17,
  -29:62:24:50:1, 29:62:24:50:2, 30:62:24:17, 31:62:24:67:1, -31:62:25:67, -30:62:25:17:8,
  -22:62:25:67:2, 22:62:25:67, 30:62:25:17:8, 31:62:25:67:1, -31:62:26:67, -30:62:26:17:8,
  -23:62:26:17, -22:62:26:67:1, 22:62:26:67, 23:62:26:17, 30:62:26:17:8, 31:62:26:67:1,
  -31:62:27:67, -30:62:27:17:8, -23:62:27:17:8, -22:62:27:67:1, 22:62:27:67, 23:62:27:17:8,
  30:62:27:17:8, 31:62:27:67:1, -31:62:28:67:3, -30:62:28:67, -29:62:28:17, -23:62:28:17:8,
  -22:62:28:67:1, 22:62:28:67, 23:62:28:17:8, 29:62:28:17, 30:62:28:67:3, 31:62:28:67:1,
  -30:62:29:67:3, -29:62:29:67, -28:62:29:17, -24:62:29:50:4, -23:62:29:17:8, -22:62:29:67:1,
  -2:62:29:17, 2:62:29:17, 22:62:29:67, 23:62:29:17:8, 24:62:29:50:4, 28:62:29:17,
  29:62:29:67:3, 30:62:29:67:1, -29:62:30:67:3, -28:62:30:67, -27:62:30:17:4, -26:62:30:17:4,
  -25:62:30:17:4, -24:62:30:17, -23:62:30:67:3, -22:62:30:67:1, 22:62:30:67:3, 23:62:30:67,
  24:62:30:17, 25:62:30:17:4, 26:62:30:17:4, 27:62:30:17:4, 28:62:30:67:3, 29:62:30:67:1,
  -28:62:31:67:3, -27:62:31:67:3, -26:62:31:67:3, -25:62:31:67:3, -24:62:31:67:3,
  -23:62:31:67:1, 23:62:31:67:3, 24:62:31:67:3, 25:62:31:67:3, 26:62:31:67:3, 27:62:31:67:3,
  28:62:31:67:1, -3:62:32:67, -2:62:32:67:2, -1:62:32:44:11, 0:62:32:44:11, 1:62:32:44:11,
  2:62:32:67:2, 3:62:32:67:2, -4:62:33:67:2, -3:62:33:67:2, -2:62:33:17, -1:62:33:17:4,
  0:62:33:17:4, 1:62:33:17:4, 2:62:33:17, 3:62:33:67:1, 4:62:33:67:2, -4:62:34:67,
  -3:62:34:17:8, 3:62:34:17:8, 4:62:34:67:1, -4:62:35:67, -3:62:35:17:8, 3:62:35:17:8,
  4:62:35:67:1, -4:62:36:67, -3:62:36:17:8, 3:62:36:17:8, 4:62:36:67:1, -4:62:37:67,
  -3:62:37:17:8, 3:62:37:17:8, 4:62:37:67:1, -4:62:38:67, -3:62:38:17:8, -2:62:38:50:4,
  2:62:38:50:4, 3:62:38:17:8, 4:62:38:67:1, -4:62:39:67:3, -3:62:39:67, -2:62:39:17,
  -1:62:39:17:4, 0:62:39:17:4, 1:62:39:17:4, 2:62:39:17, 3:62:39:67:3, 4:62:39:67:1,
  -3:62:40:67:3, -2:62:40:67:3, -1:62:40:67:3, 0:62:40:67:3, 1:62:40:67:3, 2:62:40:67:3,
  3:62:40:67:1, -2:63:-41:44:3, -1:63:-41:44:3, 0:63:-41:44:3, 1:63:-41:44:3, 2:63:-41:44:3,
  -3:63:-40:44:3, -2:63:-40:20, -1:63:-40:20, 0:63:-40:20, 1:63:-40:20, 2:63:-40:20,
  3:63:-40:44:3, -3:63:-39:44:3, -2:63:-39:20, -1:63:-39:20, 0:63:-39:20, 1:63:-39:20,
  2:63:-39:20, 3:63:-39:44:3, -3:63:-38:44:3, -2:63:-38:20, -1:63:-38:20, 0:63:-38:20,
  1:63:-38:20, 2:63:-38:20, 3:63:-38:44:3, -3:63:-37:44:3, -2:63:-37:20, -1:63:-37:20,
  0:63:-37:20, 1:63:-37:20, 2:63:-37:20, 3:63:-37:44:3, -3:63:-36:44:3, -2:63:-36:20,
  -1:63:-36:20, 0:63:-36:20, 1:63:-36:20, 2:63:-36:20, 3:63:-36:44:3, -2:63:-35:44:3,
  -1:63:-35:44:3, 0:63:-35:44:3, 1:63:-35:44:3, 2:63:-35:44:3, -27:63:-30:44:3, -26:63:-30:44:3,
  -25:63:-30:44:3, -24:63:-30:44:3, -3:63:-30:18:4, -2:63:-30:18:4, -1:63:-30:18:4,
  1:63:-30:18:4, 2:63:-30:18:4, 3:63:-30:18:4, 24:63:-30:44:3, 25:63:-30:44:3, 26:63:-30:44:3,
  27:63:-30:44:3, -28:63:-29:44:3, -27:63:-29:20, -26:63:-29:20, -25:63:-29:20, -24:63:-29:44:3,
  -23:63:-29:44:3, -3:63:-29:18:12, -2:63:-29:18:12, -1:63:-29:18:4, 1:63:-29:18:12,
  2:63:-29:18:12, 3:63:-29:18:4, 23:63:-29:44:3, 24:63:-29:44:3, 25:63:-29:20, 26:63:-29:20,
  27:63:-29:20, 28:63:-29:44:3, -29:63:-28:44:3, -28:63:-28:20, -27:63:-28:20, -26:63:-28:20,
  -25:63:-28:20, -24:63:-28:20, -23:63:-28:44:3, -3:63:-28:18:4, -2:63:-28:18:12,
  -1:63:-28:18:4, 1:63:-28:18:12, 2:63:-28:18:12, 3:63:-28:18:4, 23:63:-28:44:3, 24:63:-28:20,
  25:63:-28:20, 26:63:-28:20, 27:63:-28:20, 28:63:-28:20, 29:63:-28:44:3, -30:63:-27:44:3,
  -29:63:-27:20, -28:63:-27:20, -27:63:-27:20, -26:63:-27:20, -25:63:-27:20, -24:63:-27:20,
  -23:63:-27:44:3, 23:63:-27:44:3, 24:63:-27:20, 25:63:-27:20, 26:63:-27:20, 27:63:-27:20,
  28:63:-27:20, 29:63:-27:20, 30:63:-27:44:3, -30:63:-26:44:3, -29:63:-26:20, -28:63:-26:20,
  -27:63:-26:20, -26:63:-26:20, -25:63:-26:44:3, -24:63:-26:44:3, -23:63:-26:44:3,
  23:63:-26:44:3, 24:63:-26:44:3, 25:63:-26:44:3, 26:63:-26:20, 27:63:-26:20, 28:63:-26:20,
  29:63:-26:20, 30:63:-26:44:3, -30:63:-25:44:3, -29:63:-25:20, -28:63:-25:20, -27:63:-25:20,
  -26:63:-25:44:3, -25:63:-25:44:3, 25:63:-25:44:3, 26:63:-25:44:3, 27:63:-25:20,
  28:63:-25:20, 29:63:-25:20, 30:63:-25:44:3, -30:63:-24:44:3, -29:63:-24:44:3, -28:63:-24:20,
  -27:63:-24:20, -26:63:-24:44:3, -20:63:-24:18:4, -19:63:-24:18:4, -18:63:-24:18:4,
  18:63:-24:18:4, 19:63:-24:18:12, 20:63:-24:18:12, 26:63:-24:44:3, 27:63:-24:20,
  28:63:-24:20, 29:63:-24:44:3, 30:63:-24:44:3, -29:63:-23:44:3, -28:63:-23:44:3,
  -27:63:-23:44:3, -26:63:-23:44:3, -20:63:-23:18:4, -19:63:-23:18:4, -18:63:-23:18:4,
  18:63:-23:18:4, 19:63:-23:18:12, 20:63:-23:18:12, 26:63:-23:44:3, 27:63:-23:44:3,
  28:63:-23:44:3, 29:63:-23:44:3, -20:63:-22:18:4, -19:63:-22:18:4, -18:63:-22:18:4,
  18:63:-22:18:4, 19:63:-22:18:4, 20:63:-22:18:4, -24:63:-20:18:12, -23:63:-20:18:12,
  -22:63:-20:18:4, 22:63:-20:18:4, 23:63:-20:18:4, 24:63:-20:18:4, -24:63:-19:18:12,
  -23:63:-19:18:12, -22:63:-19:18:4, 22:63:-19:18:4, 23:63:-19:18:4, 24:63:-19:18:4,
  -24:63:-18:18:4, -23:63:-18:18:4, -22:63:-18:18:4, 22:63:-18:18:4, 23:63:-18:18:4,
  24:63:-18:18:4, -7:63:-7:85, 7:63:-7:85, -38:63:-3:44:3, -37:63:-3:44:3, -36:63:-3:44:3,
  -35:63:-3:44:3, -34:63:-3:44:3, -30:63:-3:18:4, -29:63:-3:18:4, -28:63:-3:18:4,
  -2:63:-3:98, -1:63:-3:109:5, 0:63:-3:44:13, 1:63:-3:109:4, 2:63:-3:98, 28:63:-3:18:4,
  29:63:-3:18:12, 30:63:-3:18:4, 33:63:-3:44:3, 34:63:-3:44:3, 35:63:-3:44:3, 36:63:-3:44:3,
  37:63:-3:44:3, -39:63:-2:44:3, -38:63:-2:20, -37:63:-2:20, -36:63:-2:20, -35:63:-2:20,
  -34:63:-2:20, -33:63:-2:44:3, -30:63:-2:18:4, -29:63:-2:18:12, -28:63:-2:18:12,
  -3:63:-2:98, 3:63:-2:98, 28:63:-2:18:12, 29:63:-2:18:12, 30:63:-2:18:4, 32:63:-2:44:3,
  33:63:-2:20, 34:63:-2:20, 35:63:-2:20, 36:63:-2:20, 37:63:-2:20, 38:63:-2:44:3,
  -39:63:-1:44:3, -38:63:-1:20, -37:63:-1:20, -36:63:-1:20, -35:63:-1:20, -34:63:-1:20,
  -33:63:-1:44:3, -30:63:-1:18:4, -29:63:-1:18:12, -28:63:-1:18:12, -3:63:-1:109:7,
  0:63:-1:126:1, 3:63:-1:109:7, 28:63:-1:18:4, 29:63:-1:18:4, 30:63:-1:18:4, 32:63:-1:44:3,
  33:63:-1:20, 34:63:-1:20, 35:63:-1:20, 36:63:-1:20, 37:63:-1:20, 38:63:-1:44:3,
  -39:63:0:44:3, -38:63:0:20, -37:63:0:20, -36:63:0:20, -35:63:0:20, -34:63:0:20,
  -33:63:0:44:3, -3:63:0:44:13, 0:63:0:17:1, 3:63:0:44:13, 32:63:0:44:3, 33:63:0:20,
  34:63:0:20, 35:63:0:20, 36:63:0:20, 37:63:0:20, 38:63:0:44:3, -39:63:1:44:3, -38:63:1:20,
  -37:63:1:20, -36:63:1:20, -35:63:1:20, -34:63:1:20, -33:63:1:44:3, -30:63:1:18:4,
  -29:63:1:18:4, -28:63:1:18:4, -3:63:1:109:6, 3:63:1:109:6, 28:63:1:18:12, 29:63:1:18:12,
  30:63:1:18:4, 32:63:1:44:3, 33:63:1:20, 34:63:1:20, 35:63:1:20, 36:63:1:20, 37:63:1:20,
  38:63:1:44:3, -39:63:2:44:3, -38:63:2:20, -37:63:2:20, -36:63:2:20, -35:63:2:20,
  -34:63:2:20, -33:63:2:44:3, -30:63:2:18:4, -29:63:2:18:12, -28:63:2:18:12, -3:63:2:98,
  3:63:2:98, 28:63:2:18:12, 29:63:2:18:12, 30:63:2:18:4, 32:63:2:44:3, 33:63:2:20,
  34:63:2:20, 35:63:2:20, 36:63:2:20, 37:63:2:20, 38:63:2:44:3, -38:63:3:44:3, -37:63:3:44:3,
  -36:63:3:44:3, -35:63:3:44:3, -34:63:3:44:3, -30:63:3:18:4, -29:63:3:18:12, -28:63:3:18:4,
  -2:63:3:98, -1:63:3:109:5, 0:63:3:44:13, 1:63:3:109:4, 2:63:3:98, 28:63:3:18:4,
  29:63:3:18:4, 30:63:3:18:4, 33:63:3:44:3, 34:63:3:44:3, 35:63:3:44:3, 36:63:3:44:3,
  37:63:3:44:3, -7:63:7:85, 7:63:7:85, -24:63:18:18:4, -23:63:18:18:4, -22:63:18:18:4,
  22:63:18:18:4, 23:63:18:18:4, 24:63:18:18:4, -24:63:19:18:4, -23:63:19:18:4, -22:63:19:18:4,
  22:63:19:18:4, 23:63:19:18:12, 24:63:19:18:12, -24:63:20:18:4, -23:63:20:18:4, -22:63:20:18:4,
  22:63:20:18:4, 23:63:20:18:12, 24:63:20:18:12, -20:63:22:18:4, -19:63:22:18:4, -18:63:22:18:4,
  18:63:22:18:4, 19:63:22:18:4, 20:63:22:18:4, -29:63:23:44:3, -28:63:23:44:3, -27:63:23:44:3,
  -26:63:23:44:3, -20:63:23:18:12, -19:63:23:18:12, -18:63:23:18:4, 18:63:23:18:4,
  19:63:23:18:4, 20:63:23:18:4, 26:63:23:44:3, 27:63:23:44:3, 28:63:23:44:3, 29:63:23:44:3,
  -30:63:24:44:3, -29:63:24:44:3, -28:63:24:20, -27:63:24:20, -26:63:24:44:3, -20:63:24:18:12,
  -19:63:24:18:12, -18:63:24:18:4, 18:63:24:18:4, 19:63:24:18:4, 20:63:24:18:4, 26:63:24:44:3,
  27:63:24:20, 28:63:24:20, 29:63:24:44:3, 30:63:24:44:3, -30:63:25:44:3, -29:63:25:20,
  -28:63:25:20, -27:63:25:20, -26:63:25:44:3, -25:63:25:44:3, 25:63:25:44:3, 26:63:25:44:3,
  27:63:25:20, 28:63:25:20, 29:63:25:20, 30:63:25:44:3, -30:63:26:44:3, -29:63:26:20,
  -28:63:26:20, -27:63:26:20, -26:63:26:20, -25:63:26:44:3, -24:63:26:44:3, -23:63:26:44:3,
  23:63:26:44:3, 24:63:26:44:3, 25:63:26:44:3, 26:63:26:20, 27:63:26:20, 28:63:26:20,
  29:63:26:20, 30:63:26:44:3, -30:63:27:44:3, -29:63:27:20, -28:63:27:20, -27:63:27:20,
